Characteristic,Overall,Alive,Dead
N (patients),1076,926,150
"Age, median [Q1-Q3]",58 [49-67],58 [48-66],62 [49-72]
"Sex, n (%)",,,
  FEMALE,1064 (99%),915 (99%),149 (99%)
  MALE,12 (1%),11 (1%),1 (1%)
"Stage, n (%)",,,
  I,183 (17%),167 (18%),16 (11%)
  II,608 (57%),543 (59%),65 (43%)
  III,242 (22%),198 (21%),44 (29%)
  IV,20 (2%),5 (1%),15 (10%)
  Unknown,23 (2%),13 (1%),10 (7%)
"Molecular subtype, n (%)",,,
  HR+/HER2-,589 (55%),535 (58%),54 (36%)
  HER2-positive,189 (18%),166 (18%),23 (15%)
  Triple Negative,159 (15%),134 (14%),25 (17%)
  Unknown,139 (13%),91 (10%),48 (32%)
"Treatment, n (%)",,,
  Chemotherapy,584 (54%),538 (58%),46 (31%)
  Hormone therapy,520 (48%),478 (52%),42 (28%)
  Radiation,526 (49%),482 (52%),44 (29%)
